Former,Current,Type
Arceuthobium divaricatum,Arceuthobium campylopodum
Arceuthobium littorum,Arceuthobium campylopodum
Arceuthobium monticola,Arceuthobium campylopodum
Arceuthobium occidentale,Arceuthobium campylopodum
Arceuthobium siskiyouense,Arceuthobium campylopodum
Arceuthobium tsugense subsp. contortae,Arceuthobium campylopodum
Arceuthobium tsugense subsp. mertensianae,Arceuthobium campylopodum
Arceuthobium tsugense subsp. tsugense,Arceuthobium campylopodum
Arceuthobium tsugense,Arceuthobium campylopodum
Arctostaphylos andersonii var. auriculata,Arctostaphylos auriculata
Arctostaphylos andersonii var. pallida,Arctostaphylos pallida
Arctostaphylos bowermaniae,Arctostaphylos manzanita subsp. manzanita
Arctostaphylos glandulosa subsp. zacaensis,Arctostaphylos glandulosa subsp. glandulosa
Arctostaphylos glandulosa var. australis,Arctostaphylos glandulosa subsp. glandulosa
Arctostaphylos glauca var. eremicola,Arctostaphylos glauca
Arctostaphylos glauca var. puberula,Arctostaphylos glauca
Arctostaphylos laevigata,Arctostaphylos manzanita subsp. laevigata
Arctostaphylos pungens subsp. laevigata,Arctostaphylos manzanita subsp. laevigata
Arctostaphylos rosei,Arctostaphylos crustacea subsp. rosei
Arctostaphylos tomentosa subsp. crustacea,Arctostaphylos crustacea subsp. crustacea
Arctostaphylos tomentosa subsp. rosei,Arctostaphylos crustacea subsp. rosei
Arctostaphylos zacaensis,Arctostaphylos glandulosa subsp. glandulosa
Arenaria californica,Sabulina californica
Arenaria douglasii var. emarginata,Sabulina douglasii
Arenaria douglasii,Sabulina douglasii
Arenaria macrophylla,Moehringia macrophylla
Arenaria pusilla var. diffusa,Sabulina californica
Arenaria pusilla,Sabulina pusilla
Argemone munita subsp. argentea,Argemone munita
Argemone munita subsp. robusta,Argemone munita
Argemone munita subsp. rotundata,Argemone munita
Argentina pacifica,Potentilla anserina subsp. pacifica,INAT
Arnica discoidea var. alata,Arnica discoidea
Arnica discoidea var. eradiata,Arnica discoidea
Artemisia biennis var. biennis,Artemisia biennis
Arthroceras subterminale,Arthrocnemum subterminale,INAT
Asclepias californica subsp. californica,Asclepias californica
Asclepias californica subsp. greenei,Asclepias californica
Asclepias giffordii,Asclepias speciosa
Asparagus officinalis,Asparagus officinalis subsp. officinalis,INAT
Aster chilensis var. lentus,Symphyotrichum lentum
Aster chilensis var. medius,Symphyotrichum chilense
Aster chilensis var. sonomensis,Symphyotrichum lentum
Aster chilensis,Symphyotrichum chilense
Aster hesperius,Symphyotrichum lanceolatum var. hesperium
Aster lanceolatus subsp. hesperius,Symphyotrichum lanceolatum var. hesperium
Aster lentus var. sonomensis,Symphyotrichum lentum
Aster lentus,Symphyotrichum lentum
Aster occidentalis,Symphyotrichum spathulatum
Aster radulinus,Eurybia radulina
Aster spathulatus,Symphyotrichum spathulatum
Aster subulatus var. cubensis,Symphyotrichum subulatum var. parviflorum
Astragalus didymocarpus var. daleoides,Astragalus didymocarpus var. didymocarpus
Athyrium filix-femina var. californicum,Athyrium filix-femina var. cyclosorum
Athyrium filix-femina var. sitchense,Athyrium filix-femina var. cyclosorum
