taxon_name,status
Carex laeviculmis
Carex lenticularis var. lipocarpa
Carex leporina
Carex leptopoda
Carex multicostata
Carex nebrascensis
Carex nudata
Carex obnupta
Carex pachystachya
Carex pellita
Carex pendula
Carex praegracilis
Carex senta
Carex serratodens
Carex subbracteata
Carex tumulicola
Carex unilateralis
Carpobrotus chilensis
Carpobrotus edulis
Castilleja affinis subsp. affinis
Castilleja ambigua subsp. ambigua
Castilleja applegatei subsp. martinii
Castilleja attenuata
Castilleja densiflora subsp. densiflora
Castilleja exserta subsp. exserta
Castilleja exserta subsp. latifolia
Castilleja foliolosa
Castilleja rubicundula subsp. lithospermoides
Castilleja subinclusa subsp. franciscana
Castilleja subinclusa subsp. subinclusa
Castilleja wightii
Caulanthus flavescens
Caulanthus lasiophyllus
Ceanothus cuneatus var. cuneatus
Ceanothus foliosus
Ceanothus leucodermis
Ceanothus oliganthus var. sorediatus
Ceanothus thyrsiflorus var. thyrsiflorus
Centaurea calcitrapa
Centaurea cyanus
Centaurea iberica
Centaurea melitensis
Centaurea solstitialis
Centranthus ruber
Centromadia fitchii
Centromadia parryi subsp. congdonii
Centromadia pungens subsp. pungens
Cephalanthus occidentalis
Cerastium fontanum subsp. vulgare
Cerastium glomeratum
Ceratophyllum demersum
Cercocarpus betuloides var. betuloides
Cestrum parqui
Chaenactis glabriuscula var. glabriuscula
Chaenactis glabriuscula var. heterocarpha
Chaenactis glabriuscula var. megacephala
Chasmanthe floribunda
Chenopodium album
Chenopodium berlandieri var. sinuatum
Chenopodium californicum
Chenopodium macrospermum
Chenopodium murale
Chenopodium pratericola
Chenopodium rubrum
Chenopodium vulvaria
Chlorogalum pomeridianum var. minus
Chlorogalum pomeridianum var. pomeridianum
Chloropyron molle subsp. hispidum
Chloropyron molle subsp. molle
Chloropyron palmatum
Chorizanthe membranacea
Chorizanthe polygonoides var. polygonoides
Chrysolepis chrysophylla var. minor
Cicendia quadrangularis
Cichorium intybus
Cicuta douglasii
Cicuta maculata var. bolanderi
Cirsium andrewsii
Cirsium brevistylum
Cirsium cymosum var. cymosum
Cirsium douglasii var. douglasii
Cirsium fontinale var. campylon
Cirsium occidentale var. californicum
Cirsium occidentale var. venustum
Cirsium quercetorum
Cirsium remotifolium var. odontolepis
Cirsium vulgare
Citrullus lanatus var. citroides
Clarkia affinis
Clarkia biloba subsp. biloba
Clarkia breweri
Clarkia concinna subsp. automixa
Clarkia concinna subsp. concinna
Clarkia epilobioides
Clarkia franciscana
Clarkia gracilis subsp. gracilis
Clarkia modesta
Clarkia purpurea subsp. purpurea
Clarkia purpurea subsp. quadrivulnera
Clarkia purpurea subsp. viminea
Clarkia rhomboidea
Clarkia rubicunda
Clarkia tembloriensis subsp. tembloriensis
Clarkia unguiculata
Claytonia exigua subsp. exigua
Claytonia gypsophiloides
Claytonia parviflora subsp. parviflora
Claytonia perfoliata subsp. mexicana
Claytonia perfoliata subsp. perfoliata
Clematis lasiantha
Clematis ligusticifolia
Clinopodium douglasii
Clintonia andrewsiana
Collinsia heterophylla var. heterophylla
Collinsia parviflora
Collinsia sparsiflora var. collina
Collinsia sparsiflora var. sparsiflora
Collinsia tinctoria
Collomia diversifolia
Collomia heterophylla
Conium maculatum
Consolida ajacis
Convolvulus arvensis
Convolvulus simulans
Corallorhiza maculata var. maculata
Cordylanthus nidularius
Cordylanthus pilosus subsp. pilosus
Cordylanthus rigidus subsp. rigidus
Cordyline australis
Corethrogyne filaginifolia
Cornus glabrata
Cornus sericea subsp. occidentalis
Cornus sericea subsp. sericea
Cortaderia jubata
Cortaderia selloana
Corylus cornuta subsp. californica
Cotoneaster franchetii
Cotoneaster lacteus
Cotoneaster pannosus
Cotula australis
Cotula coronopifolia
Crassula aquatica
Crassula connata
Crassula tillaea
Crataegus monogyna
Crepis bursifolia
Crepis capillaris
Crepis monticola
Crepis vesicaria subsp. taraxacifolia
Cressa truxillensis
Crocanthemum scoparium var. vulgare
Crocidium multicaule
Crocosmia ×crocosmiiflora
Croton californicus
Croton setiger
Crypsis schoenoides
Crypsis vaginiflora
Cryptantha clevelandii var. florosa
Cryptantha corollata
Cryptantha flaccida
Cryptantha intermedia var. intermedia
Cryptantha juniperensis
Cryptantha micromeres
Cryptantha microstachys
Cryptantha torreyana var. pumila
Cucurbita foetidissima
Cuscuta californica var. californica
Cuscuta campestris
Cuscuta japonica var. formosana
Cuscuta pacifica var. pacifica
Cuscuta salina
Cuscuta subinclusa
Cyclospermum leptophyllum
Cymbalaria muralis
Cynara cardunculus
Cynodon dactylon
Cynosurus echinatus
Cyperus difformis
Cyperus eragrostis
Cyperus erythrorhizos
Cyperus esculentus,NC
Cyperus involucratus
Cyperus niger
Cyperus odoratus
Cyperus strigosus
Cypselea humifusa
Cystopteris fragilis
Cytisus scoparius
Cytisus striatus
Dactylis glomerata
Danthonia californica
Datisca glomerata
Datura stramonium
Datura wrightii
Daucus carota
Daucus pusillus
Deinandra bacigalupii
Deinandra corymbosa
Deinandra kelloggii
Deinandra lobbii
Delairea odorata
Delphinium californicum subsp. californicum
Delphinium californicum subsp. interius
Delphinium decorum subsp. decorum
Delphinium gypsophilum
Delphinium hansenii subsp. hansenii
Delphinium hesperium subsp. hesperium
Delphinium hesperium subsp. pallescens
Delphinium nudicaule
Delphinium parryi subsp. parryi
Delphinium patens subsp. patens
Delphinium variegatum subsp. variegatum
Dendromecon rigida
Deschampsia cespitosa subsp. cespitosa
Deschampsia cespitosa subsp. holciformis
Deschampsia danthonioides
Deschampsia elongata
Desmazeria rigida
Dianthus nudiflorus
Dicentra formosa
Dichelostemma congestum
Dichondra donelliana
Dichondra micrantha
Digitalis purpurea
Digitaria ischaemum
Digitaria sanguinalis
Diplacus aurantiacus
Diplacus bolanderi
Diplacus douglasii
Diplacus rattanii
Dipsacus sativus
Dipterostemon capitatus
Dirca occidentalis
Distichlis spicata
Dittrichia graveolens
Downingia cuspidata
Downingia insignis
Downingia pulchella
Draba cuneifolia
Draba verna
Drymocallis glandulosa var. wrangelliana
Dryopteris arguta
Duchesnea indica var. indica
Dudleya cymosa subsp. paniculata
Dudleya farinosa
Dysphania ambrosioides
Dysphania botrys
Dysphania multifida
Echinochloa colona
Echinochloa crus-galli
Echinochloa muricata var. microstachya,NC
Echinodorus berteroi
Echium candicans
Eclipta prostrata
Egeria densa
Ehrendorferia chrysantha
Ehrharta erecta
Eichhornia crassipes
Elatine brachysperma
Elatine californica
Eleocharis acicularis var. acicularis
Eleocharis macrostachya
Eleocharis parishii
Eleocharis parvula
Eleusine indica
Elodea canadensis
Elodea nuttallii
Elymus ×gouldii
Elymus caput-medusae
Elymus elymoides var. elymoides
Elymus glaucus subsp. glaucus
Elymus glaucus subsp. virescens
Elymus hispidus
Elymus multisetus
Elymus ponticus
Elymus trachycaulus subsp. trachycaulus
