taxon,common name,status,jepson id,calrecnum,inat id,RPI ID,CRPR,CESA
Antirrhinum kelloggii,,N,13568,401,165675
Antirrhinum majus,snapdragon,X,13557,404,48969
Antirrhinum thompsonii,Sierra snapdragon,N,108978,14286,168306
Antirrhinum vexillocalyculatum subsp. vexillocalyculatum,,N,88873,10499,840919
Aphanes occidentalis,,N,13608,420,866483
Aphyllon californicum subsp. jepsonii,,N,103325,13438,802459
Aphyllon fasciculatum,clustered broom-rape,N,100018,13441,802543
Aphyllon pinorum,pinewoods broom-rape,N,13618,13445,802557
Aphyllon purpureum,naked broom-rape,N,103312,13529,739040
Aphyllon tuberosum,bulbous broom-rape,N,13614,13446,809373
Aphyllon vallicolum,hemp broom-rape,N,103315,13450,938507
Apiastrum angustifolium,,N,13619,422,58777
Apium graveolens,celery,X,13622,423,58788
Apium nodiflorum,,X,13623,424,75489
Apocynum androsaemifolium,dogbane,N,13635,425,47359
Apocynum cannabinum,Indian-hemp,N,13639,426,58795
Aquilegia eximia,,N,13665,429,57230
Aquilegia formosa,,N,13668,430,48244
Arabidopsis thaliana,mouse-ear cress,X,13682,433,55021
Arabis blepharophylla,coast rock cress,N,13690,436,60983,182,4.3
Aralia californica,elk-clover,N,13860,504,52848
Arbutus menziesii,Pacific madrone,N,13872,506,51046
Arceuthobium campylopodum,western dwarf mistletoe,N,13881,510,55422
Arctostaphylos auriculata,Mt. Diablo manzanita,N,13905,533,48023,203,1B.3
Arctostaphylos crustacea subsp. crustacea,,N,89190,11337,79587
Arctostaphylos crustacea subsp. rosei,,N,91854,11338,79590
Arctostaphylos glandulosa subsp. glandulosa,Eastwood manzanita,N,49170,552,53354
Arctostaphylos glauca,greatberry manzanita,N,13926,556,55133
Arctostaphylos manzanita subsp. laevigata,Contra Costa manzanita,N,49185,574,61922,39,1B.2
Arctostaphylos manzanita subsp. manzanita,,N,49186,575,55136
Arctostaphylos pallida,pallid manzanita,N,13962,594,53355,33,1B.1,CE
Argemone munita,prickly poppy,N,14117,657,58950
Argyranthemum foeniculaceum,,X,77423,658,75554
Aristida oligantha,oldfield three-awn,N,14193,664,75562
Aristolochia californica,pipevine,N,14232,674,55190
Arnica discoidea,,N,1123,683,52851
Artemisia biennis,biennial wormwood,X,1169,703,58798
Artemisia californica,California sagebrush,N,1171,705,53357
Artemisia douglasiana,mugwort,N,1187,708,52854
Artemisia dracunculus,tarragon,N,1188,709,57912
Artemisia pycnocephala,coastal sagewort,N,1235,720,60952
Arthrocnemum subterminale,Parish's glasswort,N,14292,11352,931443
Arum italicum,,X,14303,730,61168
Arundo donax,giant reed,X,14319,732,64017
Asarum caudatum,wild-ginger,N,14334,733,52858
Asclepias californica,California milkweed,N,14357,739,51272
Asclepias cordifolia,purple milkweed,N,14360,741,62248
Asclepias fascicularis,narrow-leaf milkweed,N,14375,747,56851
Asclepias speciosa,milkweed,N,14422,751,62292
Asparagus asparagoides,,X,14480,755,64107
Asparagus officinalis subsp. officinalis,asparagus,X,77139,756,60265
Asphodelus fistulosus,onionweed,X,14494,758,75606
Aspidotis californica,California lace fern,N,14504,759,58758
Aspidotis carlotta-halliae,lace fern,N,14505,760,75607,1576,4.2
Astragalus asymmetricus,San Joaquin milkvetch,N,14702,803,58145
Astragalus didymocarpus var. didymocarpus,two-seeded milkvetch,N,54711,827,58895
Astragalus gambelianus,little blue loco,N,14840,838,57042
Astragalus tener var. tener,alkali milkvetch,N,54950,940,80442,1129,1B.2
Athyrium filix-femina var. cyclosorum,western lady fern,N,54990,959,61002
Athysanus pusillus,,N,15178,960,58069
Athysanus unilateralis,,N,15179,11354,75695
Atriplex argentea var. expansa,silverscale,N,76505,11355,80454
Atriplex coronata var. coronata,crownscale,N,55004,973,80462,1130,4.2
Atriplex depressa,brittlescale,N,76507,976,60174,1132,1B.2
Atriplex dioica,thickleaf orach,N,15275,10508,75701
Atriplex fruticulosa,ballscale,N,15211,980,58117
Atriplex lentiformis,big saltbush,N,15228,986,58118
Atriplex leucophylla,beach saltbush,N,15230,989,60994
Atriplex minuscula,lesser saltscale,N,76509,991,75710,1133,1B.1
Atriplex patula,spear orach,N,15252,996,60175
Atriplex prostrata,spearscale,X,15260,11366,60176
Atriplex rosea,tumbling orach,X,15265,1002,58121
Atriplex semibaccata,Australian saltbush,X,15267,1003,60177
Atriplex serenana var. serenana,bractscale,N,55036,1006,80470
Atriplex suberecta,sprawling saltbush,X,15272,1008,58123
Avena barbata,slender wild oat,X,15320,1017,52696
Avena fatua,wild oat,X,15321,1018,52698
Avena sterilis,,X,15325,1021,75722
Azolla filiculoides,mosquito fern,N,15380,1026,58754
Baccharis glutinosa,marsh baccharis,N,1607,11368,75727
Baccharis pilularis subsp. consanguinea,coyote brush,N,5833,11369,79638
Baccharis pilularis subsp. pilularis,,N,69898,11370,79639
Baccharis salicifolia subsp. salicifolia,"mule fat,seepwillow",N,91889,11371,79641
Balsamorhiza deltoidea,,N,1634,1047,70383
Balsamorhiza macrolepis,,N,1639,1051,69665,350,1B.2
Barbarea orthoceras,winter cress,N,15481,1057,52976
Bassia hyssopifolia,,X,15511,1060,58125
Bellardia trixago,,X,15566,1064,51286
Bellis perennis,English daisy,X,1652,1065,55563
Berberis aquifolium var. aquifolium,,N,71483,1068,126887
Berberis aquifolium var. dictyota,,N,76967,1069,775436
Berberis nervosa,Oregon grape,N,15594,1073,75756
Berberis pinnata subsp. pinnata,California barberry,N,70025,1077,58851
Berula erecta,water-parsnip,N,15614,1081,58790
Beta vulgaris subsp. maritima,sea beet,X,49427,11374,79643
Bidens frondosa,sticktight,N,1702,1086,51712
Bidens laevis,bur-marigold,N,1711,1087,75766
Blennosperma nanum var. nanum,,N,6876,1094,64152
Blepharizonia laxa,glandular big tarplant,N,80231,10792,58799
Blepharizonia plumosa,big tarplant,N,1762,1098,57915,1589,1B.1
Boechera breweri subsp. breweri,Brewer rock cress,N,85519,11382,79644
Bolboschoenus fluviatilis,river bulrush,N,80011,11419,64228
Bolboschoenus maritimus subsp. paludosus,saltmarsh bulrush,N,49436,10796,79646
Bolboschoenus robustus,seacoast bulrush,N,77450,10798,75840
Bowlesia incana,,N,15999,1133,56822
Brachypodium distachyon,false-brome,X,16042,1137,57158
Brassica juncea,India mustard,X,16072,1142,64241
Brassica nigra,black mustard,X,16079,1144,53112
Brassica oleracea,cabbage,X,16080,9040,54516
Brassica rapa,field mustard,X,16081,1145,53271
Brickellia californica,California brickelbush,N,1794,1152,58803
Briza maxima,quaking grass,X,16135,1165,57157
Briza minor,little quaking grass,X,16137,1166,57162
Brodiaea elegans subsp. elegans,harvest brodiaea,N,49461,1175,57127
Brodiaea terrestris subsp. terrestris,,N,49464,1188,59081
Bromus arenarius,Australian chess,X,16216,1191,58368
Bromus berteroanus,Chilean chess,X,16219,9740,75897
Bromus catharticus var. catharticus,rescue grass,X,85279,11433,80494
Bromus catharticus var. elatus,Chilean brome,X,85278,11434,705496
Bromus commutatus,hairy chess,X,16233,11435,75900
Bromus diandrus,ripgut brome,X,16235,1200,52702
Bromus hordeaceus,soft chess,X,16244,1202,52703
Bromus japonicus,Japanese chess,X,16250,1205,75904
Bromus laevipes,"woodland brome,Chinook brome",N,16255,1206,52704
Bromus madritensis,Spanish brome,X,16263,1207,52707
Bromus pseudolaevipes,woodland brome,N,16275,1211,75908
Bromus racemosus,smooth brome,X,16278,11440,75909
Bromus rubens,foxtail chess,X,16281,13634,59210
Bromus sitchensis var. carinatus,California brome,N,108589,13623,52700
Bromus sitchensis var. marginatus,mountain brome,N,108590,13624,159467
Bromus sitchensis var. maritimus,maritime brome,N,108591,13625,71142
Bromus sterilis,poverty brome,X,16288,1216,57163
Bromus tectorum,cheat grass,X,16290,1218,58369
Buddleja davidii,butterfly bush,X,16349,1222,75916
Cabomba caroliniana,fanwort,X,16450,8513,75921
Cakile edentula,sea rocket,X,16523,1232,52162
Cakile maritima,sea rocket,X,16531,1233,60982
Calamagrostis nutkaensis,Pacific reed grass,N,16562,1242,61063
Calamagrostis rubescens,pine reed grass,N,16577,1245,52712
Calandrinia breweri,,N,16614,1249,68636,1800,4.2
Calandrinia menziesii,red maids,N,95066,13205,400267
Calendula arvensis,field-marigold,X,1862,1252,59260
Calendula officinalis,pot-marigold,X,1863,1253,75931
California macrophylla,,N,80427,10468,60554
Callitriche heterophylla var. bolanderi,,N,55448,1257,60158
Callitriche longipedunculata,,N,16691,11443,75936
Callitriche marginata,water-starwort,N,16692,1259,58093
Callitriche trochlearis,,N,16702,1261,69994
Calochortus albus,white globe lily,N,16710,1264,51315
Calochortus argillosus,clay mariposa lily,N,76542,1268,64330
Calochortus clavatus var. pallidus,,N,55455,1275,58360
Calochortus invenustus,,N,16733,1284,64432
Calochortus luteus,yellow mariposa lily,N,16737,1290,51077
Calochortus pulchellus,Mt. Diablo fairy lantern,N,16755,1303,47326,50,1B.2
Calochortus splendens,,N,16759,1306,58361
Calochortus umbellatus,Oakland star-tulip,N,16769,1311,51054,55,4.2
Calochortus venustus,,N,16772,1313,53902
Caltha palustris,marsh-marigold,X,16802,8708,56224
Calycadenia multiglandulosa,,N,1875,1324,56863
Calycadenia truncata,rosin weed,N,1884,1328,62567
Calystegia malacophylla subsp. pedicellata,woolly morning-glory,N,76596,1364,79655
Calystegia occidentalis subsp. occidentalis,,N,49559,1368,56086
Calystegia purpurata subsp. purpurata,,N,49560,1371,58882
Calystegia purpurata subsp. saxicola,,N,49561,1372,79656,1843,1B.2
Calystegia sepium subsp. limnophila,hedge bindweed,N,49568,1374,60182
Calystegia silvatica subsp. disjuncta,,X,78991,8524,79658
Calystegia soldanella,beach morning-glory,N,16876,1375,60880
Calystegia subacaulis subsp. subacaulis,hill morning-glory,N,49576,1379,57014
Camissonia campestris subsp. campestris,Mojave suncup,N,49602,1401,56781
Camissonia contorta,,N,16910,1420,58216
Camissonia strigulosa,,N,16947,1453,56779
Camissoniopsis cheiranthifolia subsp. cheiranthifolia,dune suncup,N,89240,11448,79666
Camissoniopsis hirtella,,N,89201,11453,75980
Camissoniopsis intermedia,,N,89203,11455,75982
Camissoniopsis micrantha,,N,89206,11458,75985
Campanula exigua,chaparral harebell,N,16965,1461,1342787,265,1B.2
Campanula griffinii,,N,16970,1462,1342789
Capsella bursa-pastoris,shepherd's purse,X,17109,1472,56121
Cardamine californica,"milkmaids,tooth wort",N,76456,1479,49651
Cardamine hirsuta,,X,17158,1486,55829
Cardamine oligosperma,,N,17171,1493,52981
Carduus pycnocephalus subsp. pycnocephalus,Italian thistle,X,82221,11464,79672
Carduus tenuiflorus,,X,1902,1505,53007
Carex aquatilis var. dives,,N,55640,1515,80511
